drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
Thai Iced Coffee,Non alcoholic,Coffee / Tea,Highball glass,"Coffee, Sugar, Cream, Cardamom","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.","['black', None, ' pods\n', None]"
The Jimmy Conway,Alcoholic,Cocktail,Whiskey sour glass,"Irish Whiskey, Amaretto, Cranberry Juice","Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!","['50 ml', '50 ml', '4 oz']"
Texas Rattlesnake,Alcoholic,Shot,Highball glass,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...","['1 part ', '1/2 part ', '1 part ', '1 splash ']"
Vesper,Alcoholic,Cocktail,Cocktail glass,"Gin, Vodka, Lillet Blanc","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","['6 cl', '1.5 cl', '0.75 cl']"
Victor,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Sweet Vermouth, Brandy","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '1/2 oz ', '1/2 oz ']"
Vampiro,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","['6 cl', '3 cl', '3 cl', '1.5 cl', '1 dash', '1 pinch']"
Vesuvio,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","['1 oz ', '1/2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ']"
Veteran,Alcoholic,Ordinary Drink,Old-fashioned glass,"Dark rum, Cherry brandy",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,"['2 oz ', '1/2 oz ']"
Van Vleet,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, Maple syrup, Lemon juice","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","['3 oz ', '1 oz ', '1 oz ']"
Vodka Fizz,Alcoholic,Other / Unknown,White wine glass,"Vodka, Half-and-half, Limeade, Ice, Nutmeg","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.","['2 oz ', '2 oz ', '2 oz ', None, None]"
Vodka Lemon,Alcoholic,Cocktail,Highball glass,"Vodka, Lemon Juice, Lemon Peel, Ice","The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon. Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves. Your vodka lemon is ready to be served.","['5 cl', '7 cl', '1 Slice', 'cubes']"
Vodka Slime,Alcoholic,Cocktail,Highball glass,"Sprite, Lime Juice, Vodka","Fill glass with ice. Add vodka, 7-up then finish with the lime juice.","['1 cup', '1/2 shot', '1 1/2 shot']"
Vodka Tonic,Alcoholic,Cocktail,Highball glass,"Vodka, Tonic Water, Lemon Peel","Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!","['4 cl', '10 cl', '1 Slice']"
Vodka Martini,Alcoholic,Ordinary Drink,Cocktail glass,"Vodka, Dry Vermouth, Olive","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.","['1 1/2 oz ', '3/4 oz ', '1 ']"
Vodka Russian,Alcoholic,Ordinary Drink,Collins Glass,"Vodka, Schweppes Russchian",Mix it as a ordinary drink .,"['2 oz ', None]"
Vermouth Cassis,Alcoholic,Ordinary Drink,Highball glass,"Dry Vermouth, Creme de Cassis, Carbonated water","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.","['1 1/2 oz ', '3/4 oz ', None]"
Victory Collins,Alcoholic,Ordinary Drink,Collins glass,"Vodka, Lemon juice, Grape juice, Powdered sugar, Orange",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,"['1 1/2 oz ', '3 oz ', '3 oz unsweetened ', '1 tsp ', '1 slice ']"
Vodka And Tonic,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Tonic water","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.","['2 oz ', None]"
Valencia Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Apricot brandy, Orange juice, Orange bitters","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '1 tblsp ', '2 dashes ']"
Whisky Mac,Alcoholic,Ordinary Drink,Collins Glass,"Scotch, Wine",Pour both of the ingredients into a wine goblet with no ice.,"['1 1/2 oz ', '1 oz Green Ginger ']"
White Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Triple Sec, Lemon Juice",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,"['4cl', '3cl', '2cl']"
Wine Punch,Alcoholic,Punch / Party Drink,Collins Glass,"Red wine, Lemon, Orange juice, Orange, Pineapple juice",Combine all of the ingredients and pour over a block of ice.,"['1 bottle ', '2 ', '1 cup ', '3 ', '1 cup ']"
Wine Cooler,Optional alcohol,Punch / Party Drink,Collins Glass,"Red wine, Lemon-lime soda, Ice",Mix wine and soft drink. Pour into glass. Add ice.,"['2 oz white or ', '5 oz ', 'cubes']"
Winter Rita,Alcoholic,Beer,Highball Glass,"Tequila, Campari, Lime Juice, Orange Juice, Rosemary Syrup, Salt","Salt rim. Combine all ingredients, shake with ice, and strain over fresh ice.⠀","['1 2/3 oz', '1/4 oz', '3/4 oz', '1/2 oz', '1/2 oz', 'Dash']"
Whiskey Sour,Alcoholic,Ordinary Drink,Old-fashioned glass,"Blended whiskey, Lemon, Powdered sugar, Cherry, Lemon","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.","['2 oz ', 'Juice of 1/2 ', '1/2 tsp ', '1 ', '1/2 slice ']"
White Russian,Alcoholic,Ordinary Drink,Old-fashioned glass,"Vodka, Coffee liqueur, Light cream",Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,"['2 oz ', '1 oz ', None]"
Winter Paloma,Alcoholic,Cocktail,Highball glass,"Tequila, Grapefruit Juice, Lime Juice, Agave Syrup, Pepper",Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,"['2 shots', 'Top', 'Juice of 1', '1 tsp', 'Dash']"
White Wine Sangria,Alcoholic,Punch / Party Drink,Pitcher,"Lime, lemon, White Wine, Strawberries, Apple, Apple Brandy, Soda Water","Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.","['1', '1', '750 ml', '1 cup', '1 cup', '3 shots', 'Top']"
Whitecap Margarita,Alcoholic,Other / Unknown,Margarita/Coupette glass,"Ice, Tequila, Cream of coconut, Lime juice",Place all ingredients in a blender and blend until smooth. This makes one drink.,"['1 cup ', '2 oz ', '1/4 cup ', '3 tblsp fresh ']"
Waikiki Beachcomber,Alcoholic,Ordinary Drink,Cocktail glass,"Triple sec, Gin, Pineapple juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['3/4 oz ', '3/4 oz ', '1 tblsp ']"
Yellow Bird,Alcoholic,Cocktail,Cocktail glass,"White Rum, Galliano, Triple Sec, Lime Juice",Shake and strain into a chilled cocktail glass,"['3 cl', '1.5 cl', '1.5 cl', '1.5 cl']"
Yoghurt Cooler,Non alcoholic,Other / Unknown,Highball Glass,"Yoghurt, Fruit, Ice","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.","['1 cup ', '1 cup ', None]"
Zorro,Alcoholic,Coffee / Tea,Coffee Mug,"Sambuca, Baileys irish cream, White Creme de Menthe",add all and pour black coffee and add whipped cream on top.,"['2 cl ', '2 cl ', '2 cl ']"
Zinger,Alcoholic,Soft Drink,Highball glass,"Peachtree schnapps, Surge",Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,"['4 shots ', '4 shots ']"
Zoksel,Alcoholic,Soft Drink,Beer pilsner,"Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon","No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.","[None, None, None, ' slice\n', None, None, None]"
Zombie,Alcoholic,Cocktail,Hurricane glass,"Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters","
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","['1 1/2 oz', '1 1/2 oz', '1 oz', '1 tsp', '1 tsp', '1 tsp', '1 drop']"
Zambeer,Alcoholic,Soft Drink,Collins Glass,"Sambuca, Root beer, Ice",Mix sambuca with rootbeer and stir. Add ice,"['1 1/2 oz ', 'Add 10 oz ', 'cubes']"
Zorbatini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Ouzo",Prepare like a Martini. Garnish with a green olive.,"['1 1/4 oz Stoli ', '1/4 oz ']"
Zenmeister,Alcoholic,Ordinary Drink,Collins Glass,"Jägermeister, Root beer",Mix together and enjoy,"['1/2 oz ', '1/2 oz ']"
Zipperhead,Alcoholic,Shot,Whiskey sour glass,"Chambord raspberry liqueur, Vodka, Soda water","Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).","['1 shot ', '1 shot ', 'Fill with ']"
Zima Blaster,Alcoholic,Ordinary Drink,Hurricane glass,"Zima, Chambord raspberry liqueur","Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.","['12 oz ', '3 oz ']"
Zizi Coin-coin,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,"Cointreau, Lemon juice, Ice, Lemon","Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass.","['5 cl ', '2 cl ', 'cubes', ' or lime\n']"
Zimadori Zinger,Alcoholic,Punch / Party Drink,Collins glass,"Midori melon liqueur, Zima",Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,"['1.5 oz ', '12 oz ']"
Zippy's Revenge,Alcoholic,Cocktail,Old-fashioned glass,"Amaretto, Rum, Kool-Aid",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,"['2 oz ', '2 oz ', '4 oz Grape ']"
Ziemes Martini Apfelsaft,Alcoholic,Ordinary Drink,Collins Glass,"Vermouth, Apple juice",Serve without ice. At least the juice shold have room temperature.,"['4 cl ', '16 cl ']"
